schema_name	component_kind	owner_task	shape_profile	subject_id_field	item_ref	config_schema	explicit_field_set
AcceptanceSubmittedV1	RESULT	F57-22	ACCEPTED_V1	acceptance_id	NONE	NONE	NONE
AddServiceEvidenceRequestV1	PAYLOAD	F57-22	ACTION_CONFIGURED_V1	customer_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
AdvanceAllocateRequestV1	PAYLOAD	F57-20	ACTION_CONFIGURED_V1	advance_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
AdvanceShippingNoticeAcceptedV1	RESULT	F57-22	ACCEPTED_V1	advance_shipping_notice_id	NONE	NONE	NONE
AgingPayableGetQueryV1	PAYLOAD	F57-20	GET_BY_ID_V1	aging_payable_id	NONE	NONE	NONE
AgingPayableViewV1	RESULT	F57-20	VIEW_CONFIGURED_V1	aging_payable_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
AgingReceivableGetQueryV1	PAYLOAD	F57-20	GET_BY_ID_V1	aging_receivable_id	NONE	NONE	NONE
AgingReceivableViewV1	RESULT	F57-20	VIEW_CONFIGURED_V1	aging_receivable_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
AllocationAcceptedV1	RESULT	F57-20	ACCEPTED_V1	allocation_id	NONE	NONE	NONE
AllocationListQueryV1	PAYLOAD	F57-20	LIST_CONFIGURED_V1	NONE	NONE	CONFIGURED_QUERY_VALUES_V1	NONE
AllocationPageV1	RESULT	F57-20	PAGE_V1	allocation_id	INLINE_CONFIGURED_ITEM_V1	CONFIGURED_RECORD_VALUES_V1	NONE
AllocationReverseRequestV1	PAYLOAD	F57-20	ACTION_CONFIGURED_V1	allocation_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
ApprovalCaseAcceptedV1	RESULT	F57-23	EXPLICIT_FIELDS_V1	NONE	NONE	NONE	case_id:ENTITY_ID:REQ;state:STATE_CODE:REQ;row_version:ROW_VERSION:REQ
ApprovalCaseCreateRequestV1	PAYLOAD	F57-23	EXPLICIT_FIELDS_V1	NONE	NONE	NONE	subject:OBJECT_REF:REQ;action_code:ACTION_CODE:REQ;request_sha256:SHA256:REQ;evidence_refs:EVIDENCE_REF_SET:REQ
ApprovalCaseGetQueryV1	PAYLOAD	F57-23	GET_BY_ID_V1	case_id	NONE	NONE	NONE
