schema_name	component_kind	owner_task	state_domain
AcceptanceSubmittedV1	RESULT	F57-22	ACCEPTANCE_V1
AdvanceShippingNoticeAcceptedV1	RESULT	F57-22	ASN_V1
AgingPayableViewV1	RESULT	F57-20	PAYABLE_V1
AgingReceivableViewV1	RESULT	F57-20	RECEIVABLE_V1
AllocationAcceptedV1	RESULT	F57-20	CASH_ALLOCATION_V1
AllocationListQueryV1	PAYLOAD	F57-20	CASH_ALLOCATION_V1
AllocationPageV1	RESULT	F57-20	CASH_ALLOCATION_V1
ApprovalCaseAcceptedV1	RESULT	F57-23	APPROVAL_CASE_V1
ApprovalCaseListQueryV1	PAYLOAD	F57-23	APPROVAL_CASE_V1
ApprovalCaseViewV1	RESULT	F57-23	APPROVAL_CASE_V1
AutomationEffectChangedV1	RESULT	F57-16	EFFECT_V1
AutomationEffectListQueryV1	PAYLOAD	F57-16	EFFECT_V1
AutomationEffectViewV1	RESULT	F57-16	EFFECT_V1
AwardAcceptedV1	RESULT	F57-20	AWARD_V1
AwardListQueryV1	PAYLOAD	F57-20	AWARD_V1
AwardViewV1	RESULT	F57-20	AWARD_V1
BillingRequestAcceptedV1	RESULT	F57-20	BILLING_REQUEST_V1
BillingRequestListQueryV1	PAYLOAD	F57-20	BILLING_REQUEST_V1
BillingRequestViewV1	RESULT	F57-20	BILLING_REQUEST_V1
CapabilityGrantChangedV1	RESULT	F57-16	CAPABILITY_GRANT_V1
CapabilityGrantListQueryV1	PAYLOAD	F57-16	CAPABILITY_GRANT_V1
CapabilityGrantViewV1	RESULT	F57-16	CAPABILITY_GRANT_V1
CashAccountAcceptedV1	RESULT	F57-20	CASH_ACCOUNT_V1
CashAccountListQueryV1	PAYLOAD	F57-20	CASH_ACCOUNT_V1
CashAccountViewV1	RESULT	F57-20	CASH_ACCOUNT_V1
CashLedgerListQueryV1	PAYLOAD	F57-20	LEDGER_V1
CashLedgerPageV1	RESULT	F57-20	LEDGER_V1
ComplaintAcceptedV1	RESULT	F57-21	COMPLAINT_V1
ComplaintListQueryV1	PAYLOAD	F57-21	COMPLAINT_V1
ComplaintViewV1	RESULT	F57-21	COMPLAINT_V1
ContractAcceptedV1	RESULT	F57-19	CONTRACT_V1
ContractFulfilmentViewV1	RESULT	F57-19	CONTRACT_V1
ContractListQueryV1	PAYLOAD	F57-19	CONTRACT_V1
ContractPaymentScheduleViewV1	RESULT	F57-19	CONTRACT_V1
ContractVersionListQueryV1	PAYLOAD	F57-19	CONTRACT_V1
ContractVersionPageV1	RESULT	F57-19	CONTRACT_V1
ContractViewV1	RESULT	F57-19	CONTRACT_V1
ControlObjectiveListQueryV1	PAYLOAD	F57-16	OBJECTIVE_V1
ControlObjectiveViewV1	RESULT	F57-16	OBJECTIVE_V1
CorrectiveActionAcceptedV1	RESULT	F57-21	CORRECTIVE_ACTION_V1
CreditExposureViewV1	RESULT	F57-19	SNAPSHOT_V1
Customer360ViewV1	RESULT	F57-19	SNAPSHOT_V1
CustomerApprovedDocumentViewV1	RESULT	F57-22	SNAPSHOT_V1
