surface	method	path	operation_id	owner_task	security_profile	route_shape_profile	request_schema	result_schema	error_schema	error_code_set
CONTROL	POST	/control/v1/commands	submitControlCommand	F57-16	CONTROL_SESSION_CSRF	CONTROL_COMMAND_V1	ControlCommandV1	ControlCommandSubmissionResultV1	ControlCommandErrorsV1	PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.AUTHZ.REAUTH_REQUIRED|PLATFORM.AUTHZ.SOD_VIOLATION|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CLIENT.GENERATION_INCOMPATIBLE|PLATFORM.CONCURRENCY.STALE_VERSION|PLATFORM.IDEMPOTENCY.IN_PROGRESS|PLATFORM.IDEMPOTENCY.PAYLOAD_MISMATCH|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.HEADER_MISSING|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
CONTROL	GET	/control/v1/commands/{request_id}	getControlCommandReceipt	F57-16	CONTROL_SESSION_READ	CONTROL_COMMAND_RECEIPT_V1	NONE	ControlCommandReceiptV1	ControlCommandReceiptErrorsV1	PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.AUTHZ.REAUTH_REQUIRED|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CLIENT.GENERATION_INCOMPATIBLE|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.HEADER_MISSING|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
CONTROL	GET	/control/v1/events/stream	streamControlEvents	F57-16	CONTROL_SESSION_READ	CONTROL_EVENT_STREAM_V1	NONE	ControlEventStreamEventV1	ControlEventStreamErrorsV1	PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.AUTHZ.REAUTH_REQUIRED|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CLIENT.GENERATION_INCOMPATIBLE|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.HEADER_MISSING|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
CONTROL	POST	/control/v1/files/upload-sessions	createControlFileUploadSession	F57-16	CONTROL_SESSION_CSRF	FILE_UPLOAD_CREATE_V1	CreateUploadSessionRequestV1	UploadSessionCreatedV1	ControlFileUploadCreateErrorsV1	PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CAPACITY.DISK_WATERMARK_EXCEEDED|PLATFORM.CONCURRENCY.STALE_VERSION|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.HEADER_MISSING|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY|PLATFORM.UPLOAD_SESSION.PART_HASH_MISMATCH
CONTROL	GET	/control/v1/files/upload-sessions/{upload_id}	getControlFileUploadSession	F57-16	CONTROL_SESSION_READ	FILE_UPLOAD_STATUS_V1	NONE	UploadSessionStatusV1	ControlFileUploadStatusErrorsV1	PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CAPACITY.DISK_WATERMARK_EXCEEDED|PLATFORM.CONCURRENCY.STALE_VERSION|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.HEADER_MISSING|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY|PLATFORM.UPLOAD_SESSION.PART_HASH_MISMATCH
CONTROL	PUT	/control/v1/files/upload-sessions/{upload_id}/chunks/{chunk_no}	putControlFileUploadChunk	F57-16	CONTROL_SESSION_CSRF	FILE_UPLOAD_CHUNK_V1	RawUploadChunkV1	UploadChunkAcceptedV1	ControlFileUploadChunkErrorsV1	PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CAPACITY.DISK_WATERMARK_EXCEEDED|PLATFORM.CONCURRENCY.STALE_VERSION|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.HEADER_MISSING|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY|PLATFORM.UPLOAD_SESSION.PART_HASH_MISMATCH
CONTROL	POST	/control/v1/files/upload-sessions/{upload_id}/complete	completeControlFileUploadSession	F57-16	CONTROL_SESSION_CSRF	FILE_UPLOAD_COMPLETE_V1	CompleteUploadSessionRequestV1	FileIngressAcceptedV1	ControlFileUploadCompleteErrorsV1	PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CAPACITY.DISK_WATERMARK_EXCEEDED|PLATFORM.CONCURRENCY.STALE_VERSION|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.HEADER_MISSING|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY|PLATFORM.UPLOAD_SESSION.PART_HASH_MISMATCH
CONTROL	GET	/control/v1/files/{object_id}/versions/{version_id}	getControlFileVersion	F57-16	CONTROL_SESSION_READ	FILE_VERSION_GET_V1	NONE	PublishedFileVersionV1	ControlFileVersionGetErrorsV1	PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CAPACITY.DISK_WATERMARK_EXCEEDED|PLATFORM.CONCURRENCY.STALE_VERSION|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.HEADER_MISSING|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY|PLATFORM.UPLOAD_SESSION.PART_HASH_MISMATCH
CONTROL	POST	/control/v1/queries	executeControlQuery	F57-16	CONTROL_SESSION_CSRF	CONTROL_QUERY_V1	ControlQueryV1	ControlQuerySubmissionResultV1	ControlQueryErrorsV1	PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CLIENT.GENERATION_INCOMPATIBLE|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
CONTROL	POST	/control/v1/session/end	endControlSession	F57-16	CONTROL_SESSION_CSRF	CONTROL_SESSION_END_V1	ControlSessionEndRequestV1	ControlSessionEndedV1	ControlSessionEndErrorsV1	PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.AUTHZ.REAUTH_REQUIRED|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CLIENT.GENERATION_INCOMPATIBLE|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.HEADER_MISSING|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
