surface	variant_kind	wire_literal	owner_task	introduced_version	payload_schema	result_schema	error_schema	subject_cas_mode	audience	operation_error_code
CONTROL	COMMAND	automation.effect.decide	F57-16	1.0.0-f57	ControlHumanEffectDecisionRequestV1	AutomationEffectChangedV1	ControlAutomationEffectDecideErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	capability.grant.create	F57-16	1.0.0-f57	CapabilityGrantCreateRequestV1	CapabilityGrantChangedV1	ControlCapabilityGrantCreateErrorsV1	CONTROL_CREATE_NO_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	capability.grant.revoke	F57-16	1.0.0-f57	CapabilityGrantRevokeRequestV1	CapabilityGrantChangedV1	ControlCapabilityGrantRevokeErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	generation.activate	F57-16	1.0.0-f57	GenerationActivateRequestV1	GenerationChangedV1	ControlGenerationActivateErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	generation.approve	F57-16	1.0.0-f57	GenerationApprovalRequestV1	GenerationChangedV1	ControlGenerationApproveErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	generation.create	F57-16	1.0.0-f57	GenerationCreateRequestV1	GenerationChangedV1	ControlGenerationCreateErrorsV1	CONTROL_CREATE_NO_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	generation.rollback	F57-16	1.0.0-f57	GenerationRollbackRequestV1	GenerationChangedV1	ControlGenerationRollbackErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	generation.submit	F57-16	1.0.0-f57	GenerationSubmitRequestV1	GenerationChangedV1	ControlGenerationSubmitErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	objective.reopen	F57-16	1.0.0-f57	ControlObjectiveReopenRequestV1	ObjectiveChangedV1	ControlObjectiveReopenErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	objective.terminate	F57-16	1.0.0-f57	ControlObjectiveTerminationRequestV1	ObjectiveChangedV1	ControlObjectiveTerminateErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	package.disable	F57-16	1.0.0-f57	PackageTransitionRequestV1	PackageChangedV1	ControlPackageDisableErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	package.enable	F57-16	1.0.0-f57	PackageTransitionRequestV1	PackageChangedV1	ControlPackageEnableErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	package.install	F57-16	1.0.0-f57	PackageInstallRequestV1	PackageChangedV1	ControlPackageInstallErrorsV1	CONTROL_CREATE_NO_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	package.rollback_version	F57-16	1.0.0-f57	PackageRollbackRequestV1	PackageChangedV1	ControlPackageRollbackVersionErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	package.upgrade	F57-16	1.0.0-f57	PackageUpgradeRequestV1	PackageChangedV1	ControlPackageUpgradeErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	support_session.activate	F57-16	1.0.0-f57	SupportSessionTransitionRequestV1	SupportSessionChangedV1	ControlSupportSessionActivateErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	support_session.approve	F57-16	1.0.0-f57	SupportSessionTransitionRequestV1	SupportSessionChangedV1	ControlSupportSessionApproveErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	support_session.close	F57-16	1.0.0-f57	SupportSessionCloseRequestV1	SupportSessionChangedV1	ControlSupportSessionCloseErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	support_session.create	F57-16	1.0.0-f57	SupportSessionCreateRequestV1	SupportSessionChangedV1	ControlSupportSessionCreateErrorsV1	CONTROL_CREATE_NO_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	support_session.revoke	F57-16	1.0.0-f57	SupportSessionTransitionRequestV1	SupportSessionChangedV1	ControlSupportSessionRevokeErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	NONE
CONTROL	QUERY	automation.effect.get	F57-16	1.0.0-f57	ControlObjectIdQueryV1	AutomationEffectViewV1	ControlAutomationEffectGetErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	automation.effect.list	F57-16	1.0.0-f57	AutomationEffectListQueryV1	AutomationEffectPageV1	ControlAutomationEffectListErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	capability.grant.get	F57-16	1.0.0-f57	ControlObjectIdQueryV1	CapabilityGrantViewV1	ControlCapabilityGrantGetErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	capability.grant.list	F57-16	1.0.0-f57	CapabilityGrantListQueryV1	CapabilityGrantPageV1	ControlCapabilityGrantListErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	generation.diff	F57-16	1.0.0-f57	GenerationDiffQueryV1	GenerationDiffViewV1	ControlGenerationDiffErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	generation.get	F57-16	1.0.0-f57	ControlObjectIdQueryV1	GenerationViewV1	ControlGenerationGetErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	generation.list	F57-16	1.0.0-f57	ControlListQueryV1	GenerationPageV1	ControlGenerationListErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	objective.get	F57-16	1.0.0-f57	ControlObjectIdQueryV1	ControlObjectiveViewV1	ControlObjectiveGetErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	objective.list	F57-16	1.0.0-f57	ControlObjectiveListQueryV1	ControlObjectivePageV1	ControlObjectiveListErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	package.get	F57-16	1.0.0-f57	ControlObjectIdQueryV1	PackageViewV1	ControlPackageGetErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	package.list	F57-16	1.0.0-f57	ControlListQueryV1	PackagePageV1	ControlPackageListErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	permission.simulate	F57-16	1.0.0-f57	PermissionSimulationRequestV1	PermissionSimulationViewV1	ControlPermissionSimulateErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	production_evidence.get	F57-16	1.0.0-f57	ProductionEvidenceQueryV1	ProductionEvidenceViewV1	ControlProductionEvidenceGetErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	production_evidence.list	F57-16	1.0.0-f57	ProductionEvidenceListQueryV1	ProductionEvidencePageV1	ControlProductionEvidenceListErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	storage_health.get	F57-16	1.0.0-f57	StorageHealthQueryV1	StorageHealthViewV1	ControlStorageHealthGetErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	support_session.get	F57-16	1.0.0-f57	ControlObjectIdQueryV1	SupportSessionViewV1	ControlSupportSessionGetErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	support_session.list	F57-16	1.0.0-f57	ControlListQueryV1	SupportSessionPageV1	ControlSupportSessionListErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	COMMAND	approval.case.create	F57-23	1.1.0-f57	ApprovalCaseCreateRequestV1	ApprovalCaseAcceptedV1	ControlApprovalCaseCreateErrorsV1	CONTROL_CREATE_NO_CAS	CONTROL_CENTER	PLATFORM.APPROVAL.REQUEST_INVALID
CONTROL	COMMAND	approval.case.decide	F57-23	1.1.0-f57	ControlApprovalCaseDecisionRequestV1	ApprovalCaseAcceptedV1	ControlApprovalCaseDecideErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	PLATFORM.APPROVAL.INVALID_TRANSITION
CONTROL	COMMAND	disposition.case.approve	F57-23	1.1.0-f57	DispositionDecisionRequestV1	DispositionCaseAcceptedV1	ControlDispositionCaseApproveErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	PLATFORM.DISPOSITION.INVALID_TRANSITION
CONTROL	COMMAND	disposition.case.assess_impact	F57-23	1.1.0-f57	DispositionImpactRequestV1	DispositionCaseAcceptedV1	ControlDispositionCaseAssessImpactErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	PLATFORM.DISPOSITION.IMPACT_INVALID
CONTROL	COMMAND	disposition.case.close	F57-23	1.1.0-f57	DispositionTransitionRequestV1	DispositionCaseAcceptedV1	ControlDispositionCaseCloseErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	PLATFORM.DISPOSITION.INVALID_TRANSITION
CONTROL	COMMAND	disposition.case.create	F57-23	1.1.0-f57	DispositionCaseCreateRequestV1	DispositionCaseAcceptedV1	ControlDispositionCaseCreateErrorsV1	CONTROL_CREATE_NO_CAS	CONTROL_CENTER	PLATFORM.DISPOSITION.REQUEST_INVALID
CONTROL	COMMAND	disposition.case.execute	F57-23	1.1.0-f57	DispositionExecuteRequestV1	DispositionCaseAcceptedV1	ControlDispositionCaseExecuteErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	PLATFORM.DISPOSITION.EXECUTION_DENIED
CONTROL	COMMAND	disposition.case.resume	F57-23	1.1.0-f57	DispositionResumeRequestV1	DispositionCaseAcceptedV1	ControlDispositionCaseResumeErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	PLATFORM.DISPOSITION.RESUME_DENIED
CONTROL	COMMAND	disposition.case.verify	F57-23	1.1.0-f57	DispositionVerifyRequestV1	DispositionCaseAcceptedV1	ControlDispositionCaseVerifyErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	PLATFORM.DISPOSITION.VERIFICATION_FAILED
CONTROL	COMMAND	identity.external_link.create	F57-23	1.1.0-f57	ExternalIdentityLinkCreateRequestV1	ExternalIdentityLinkChangedV1	ControlIdentityExternalLinkCreateErrorsV1	CONTROL_CREATE_NO_CAS	CONTROL_CENTER	PLATFORM.IDENTITY.EXTERNAL_LINK_CONFLICT
CONTROL	COMMAND	identity.external_link.revoke	F57-23	1.1.0-f57	ExternalIdentityLinkRevokeRequestV1	ExternalIdentityLinkChangedV1	ControlIdentityExternalLinkRevokeErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	PLATFORM.IDENTITY.EXTERNAL_LINK_INVALID
CONTROL	COMMAND	legal_hold.activate	F57-23	1.1.0-f57	LegalHoldTransitionRequestV1	LegalHoldAcceptedV1	ControlLegalHoldActivateErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	PLATFORM.LEGAL_HOLD.INVALID_TRANSITION
CONTROL	COMMAND	legal_hold.approve	F57-23	1.1.0-f57	LegalHoldApprovalDecisionRequestV1	LegalHoldAcceptedV1	ControlLegalHoldApproveErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	PLATFORM.LEGAL_HOLD.INVALID_TRANSITION
CONTROL	COMMAND	legal_hold.cancel	F57-23	1.1.0-f57	LegalHoldTransitionRequestV1	LegalHoldAcceptedV1	ControlLegalHoldCancelErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	PLATFORM.LEGAL_HOLD.INVALID_TRANSITION
CONTROL	COMMAND	legal_hold.create	F57-23	1.1.0-f57	LegalHoldCreateRequestV1	LegalHoldAcceptedV1	ControlLegalHoldCreateErrorsV1	CONTROL_CREATE_NO_CAS	CONTROL_CENTER	PLATFORM.LEGAL_HOLD.REQUEST_INVALID
