state_domain	state_values
ACCEPTANCE_V1	ACCEPTED|REJECTED|SUBMITTED|WITHDRAWN
APPROVAL_CASE_V1	APPROVED|CANCELLED|EXPIRED|OPEN|REJECTED
ASN_V1	ACCEPTED|CANCELLED|REJECTED|SUBMITTED
AWARD_V1	APPROVED|CANCELLED|DRAFT|REJECTED
BILLING_REQUEST_V1	APPROVED|CANCELLED|DRAFT|INVOICED|SUBMITTED
CAPABILITY_GRANT_V1	ACTIVE|EXPIRED|REVOKED
CASH_ACCOUNT_V1	ACTIVE|CLOSED|FROZEN
CASH_ALLOCATION_V1	ALLOCATED|REVERSED
CASH_RECEIPT_V1	ALLOCATED|DRAFT|PARTIALLY_ALLOCATED|POSTED|REVERSED|UNALLOCATED
COMPLAINT_V1	ACKNOWLEDGED|ACTION_PLANNED|CANCELLED|CLOSED|CLOSURE_REVIEW|INVESTIGATING|REGISTERED|RESOLVED|WAITING_CUSTOMER
CONTRACT_V1	COMPLETED|DRAFT|EFFECTIVE|IN_PERFORMANCE|PENDING_APPROVAL|PENDING_SIGNATURE|REJECTED|TERMINATED|TERMINATING|VOID
CORRECTIVE_ACTION_V1	CANCELLED|CLOSED|EFFECTIVE|INEFFECTIVE|IN_PROGRESS|PLANNED|VERIFICATION
COST_ENTRY_V1	APPROVED|DRAFT|POSTED|REJECTED|REVERSED|SUBMITTED
CPQ_QUOTE_VERSION_V1	ACCEPTED|APPROVED|DRAFT|EXPIRED|ISSUED|ISSUE_PENDING|PENDING_APPROVAL|REJECTED|SUPERSEDED|WITHDRAWAL_PENDING|WITHDRAWN
DEFINITION_V1	DRAFT|PUBLISHED|RETIRED
DELIVERY_V1	ACCEPTED|CANCELLED|DELIVERED|IN_TRANSIT|PLANNED|READY|REJECTED
DISPOSITION_CASE_V1	APPROVED|CLOSED|EXECUTING|FAILED_CONTAINED|IMPACTED|PLANNED|VERIFIED
EFFECT_V1	COMPENSATED|CONFIRMED|CONFLICTED|DISPATCHED|FAILED_NOT_EXECUTED|PREPARED|UNKNOWN
EQUIPMENT_V1	IN_SERVICE|IN_STOCK|RETURNED|SCRAPPED|UNDER_REPAIR
EXTERNAL_IDENTITY_LINK_V1	ACTIVE|REVOKED
FOLLOW_UP_V1	CANCELLED|COMPLETED|OVERDUE|PLANNED
GENERATION_V1	ACTIVATING|APPROVED|COMPILED|DRAFT|OBSERVED|PREDOWNLOADED|REJECTED|ROLLED_BACK|ROLLING_BACK|SIGNED|SIMULATED
IMPORT_PROPOSAL_V1	APPLIED|APPROVED|DRAFT|FAILED_CONTAINED|PENDING_APPROVAL|REJECTED|VALIDATED
INVENTORY_V1	ADJUSTED|ALLOCATED|AVAILABLE|CONSUMED|IN_TRANSIT|QUARANTINED|RECEIVED|RESERVED
INVOICE_V1	CREDITED|DISPUTED|DRAFT|ISSUED|PAID|PARTIALLY_PAID|VOIDED
LEDGER_V1	DRAFT|POSTED|REVERSED
LEGAL_HOLD_V1	ACTIVE|APPROVED|CANCELLED|DRAFT|RELEASED|RELEASE_REQUESTED
MAINTENANCE_OCCURRENCE_V1	CANCELLED|COMPLETED|DUE|IN_PROGRESS|OVERDUE|PLANNED|SKIPPED
MAINTENANCE_PLAN_V1	ACTIVE|CANCELLED|COMPLETED|DRAFT|PAUSED
MASTER_RECORD_V1	ACTIVE|DRAFT|INACTIVE|MERGED
OBJECTIVE_V1	ABANDONED|CLOSED|CLOSURE_REVIEW|INCIDENT|OPEN|RECONCILING|WAITING
OPERATING_PERIOD_V1	CLOSED|CLOSING|OPEN
OPPORTUNITY_V1	CANCELLED|COMMERCIAL|DRAFT|LOST|QUALIFYING|SOLUTION|WON
PACKAGE_V1	ACTIVE|APPROVED|DISABLED|DRAINING|REJECTED|SHADOW_LOADED|STAGED|VERIFIED
PART_USAGE_V1	CANCELLED|CONSUMED|ISSUED|REQUESTED|RESERVED|RETURNED|SCRAPPED
PAYABLE_V1	CLOSED|DISPUTED|DUE|OPEN|PAID|PARTIALLY_PAID
PAYMENT_REQUEST_V1	APPROVED|CANCELLED|DRAFT|EXECUTED|FAILED_CONTAINED|SUBMITTED
PAYMENT_V1	CONFIRMED|FAILED_NOT_EXECUTED|PENDING|REVERSED|UNKNOWN
PORTABLE_EXPORT_V1	APPROVED|EXPIRED|FAILED_CONTAINED|PENDING_APPROVAL|PREPARING|READY|REJECTED
PROCUREMENT_DEMAND_V1	AWARDED|CANCELLED|CLOSED|DRAFT|PARTIALLY_AWARDED|READY|SOURCING
PROJECT_MILESTONE_V1	BLOCKED|CANCELLED|CLOSED|IN_PROGRESS|OPEN
PROJECT_RECEIPT_MILESTONE_V1	BLOCKED|DUE|INVOICED|PAID|READY
PROJECT_RISK_V1	ACCEPTED|CLOSED|MITIGATING|MONITORING|OPEN
PROJECT_V1	CANCELLED|CLOSED|CLOSURE_REVIEW|IN_PROGRESS|PLANNED|SUSPENDED
PURCHASE_ORDER_V1	CLOSED|COMPLETED|DRAFT|ISSUED|PARTIALLY_RECEIVED|PENDING_APPROVAL|PENDING_SUPPLIER_CONFIRM|REJECTED|SUPPLIER_CONFIRMED|SUPPLIER_RESCHEDULE_PROPOSED|VOIDED
PURCHASE_RETURN_V1	AUTHORIZED|CANCELLED|CLOSED|DRAFT|RECEIVED_BY_SUPPLIER|SHIPPED
RECEIPT_REJECTION_V1	ACCEPTED|CANCELLED|OPEN|RESOLVED
RECEIPT_V1	ACCEPTED|CANCELLED|DRAFT|INSPECTED|POSTED|QUARANTINED|REJECTED
RECEIVABLE_V1	CLOSED|DISPUTED|DUE|OPEN|PAID|PARTIALLY_PAID
RECONCILIATION_V1	CLOSED|FAILED_CONTAINED|MATCHED|OPEN|REVIEW_REQUIRED
REFUND_V1	CONFIRMED|FAILED_NOT_EXECUTED|PENDING|REVERSED|UNKNOWN
RFQ_ROUND_V1	AWARDED|CANCELLED|CANCELLED_BY_REVISION|DRAFT|EVALUATING|NO_AWARD|OPEN|PENDING_APPROVAL
ROOT_CAUSE_V1	ACCEPTED|DRAFT|REJECTED|VERIFIED
SALES_ORDER_V1	CANCELLED|CHANGE_APPROVAL|CLOSED|DELIVERED|PARTIALLY_DELIVERED|PENDING_RELEASE|RELEASED
SALES_RETURN_V1	AUTHORIZED|CANCELLED|CLOSED|DRAFT|RECEIVED|REFUNDED
SATISFACTION_V1	CLOSED|OPEN|RECORDED|WAITING_RESPONSE
SECURITY_INCIDENT_V1	CLOSED|CLOSED_FALSE_POSITIVE|CONTAINED|DETECTED|ERADICATING|RECONCILING|RECOVERING|TRIAGED
SERVICE_EVIDENCE_V1	ACCEPTED|REJECTED|VERIFIED
SERVICE_REQUEST_V1	ACCEPTED|CANCELLED|CLOSED|OPEN|TRIAGED
SNAPSHOT_V1	CURRENT
SUPPLIER_PROFILE_V1	ACTIVE|INACTIVE|PENDING_REVIEW|SUSPENDED
SUPPLIER_QUOTE_VERSION_V1	DISQUALIFIED|LATE_REJECTED|NOT_SELECTED|RECEIVED|SELECTED|SUPERSEDED|VALID|WITHDRAWN
SUPPORT_SESSION_V1	ACTIVE|APPROVED|CLOSED|EXPIRED|FAILED_CONTAINED|READY|REQUESTED|REVOKED
