task_id	logical_lane	lane_profile_id	profile_mode	execution_lanes_json	artifact_ids_json	stage_set_id
F57-01	windows-authority	WINDOWS_BOOTSTRAP_F57_01_V1	BOOTSTRAP_DUE	["windows-authority"]	["F57-LANE-WINDOWS-BOOTSTRAP-V1"]	F57_STAGE_REGISTRY_V1
F57-02	windows-authority	WINDOWS_DUE_F57_02_V1	INCREMENTAL_DUE	["windows-authority"]	["F57-LANE-WINDOWS-INCREMENTAL-V1"]	F57_STAGE_REGISTRY_V1
F57-03	windows-authority	WINDOWS_DUE_F57_03_V1	INCREMENTAL_DUE	["windows-authority"]	["F57-LANE-WINDOWS-INCREMENTAL-V1"]	F57_STAGE_REGISTRY_V1
F57-04	windows-authority	WINDOWS_DUE_F57_04_V1	INCREMENTAL_DUE	["windows-authority"]	["F57-LANE-WINDOWS-INCREMENTAL-V1"]	F57_STAGE_REGISTRY_V1
F57-05	windows-authority	WINDOWS_DUE_F57_05_V1	INCREMENTAL_DUE	["windows-authority"]	["F57-LANE-WINDOWS-INCREMENTAL-V1"]	F57_STAGE_REGISTRY_V1
F57-06	windows-authority	WINDOWS_DUE_F57_06_V1	INCREMENTAL_DUE	["windows-authority"]	["F57-LANE-WINDOWS-INCREMENTAL-V1"]	F57_STAGE_REGISTRY_V1
F57-07	windows-authority	WINDOWS_DUE_F57_07_V1	INCREMENTAL_DUE	["windows-authority"]	["F57-LANE-WINDOWS-INCREMENTAL-V1"]	F57_STAGE_REGISTRY_V1
F57-08	windows-authority	WINDOWS_DUE_F57_08_V1	INCREMENTAL_DUE	["windows-authority"]	["F57-LANE-WINDOWS-INCREMENTAL-V1"]	F57_STAGE_REGISTRY_V1
F57-09	windows-authority	WINDOWS_DUE_F57_09_V1	INCREMENTAL_DUE	["windows-authority"]	["F57-LANE-WINDOWS-INCREMENTAL-V1"]	F57_STAGE_REGISTRY_V1
F57-10	windows-authority	WINDOWS_DUE_F57_10_V1	INCREMENTAL_DUE	["windows-authority"]	["F57-LANE-WINDOWS-INCREMENTAL-V1"]	F57_STAGE_REGISTRY_V1
F57-11	windows-authority	WINDOWS_DUE_F57_11_V1	INCREMENTAL_DUE	["windows-authority"]	["F57-LANE-WINDOWS-INCREMENTAL-V1"]	F57_STAGE_REGISTRY_V1
F57-12	windows-authority	WINDOWS_DUE_F57_12_V1	INCREMENTAL_DUE	["windows-authority"]	["F57-LANE-WINDOWS-INCREMENTAL-V1"]	F57_STAGE_REGISTRY_V1
F57-13	windows-authority	WINDOWS_DUE_F57_13_V1	INCREMENTAL_DUE	["windows-authority"]	["F57-LANE-WINDOWS-INCREMENTAL-V1"]	F57_STAGE_REGISTRY_V1
F57-14	windows-authority	WINDOWS_DUE_F57_14_V1	INCREMENTAL_DUE	["windows-authority"]	["F57-LANE-WINDOWS-INCREMENTAL-V1"]	F57_STAGE_REGISTRY_V1
