stage_set_id	stage_order	stage_id	command_contract_id	ordered_argv_template_json	input_selector	result_schema
F57_STAGE_REGISTRY_V1	1	toolchain-offline	TOOLCHAIN_VERIFY_DUE_V1	["cargo","xtask","ci-stage","--task","{task_id}","--lane","{execution_lane}","--profile","{lane_profile_id}","--stage","toolchain-offline"]	TOOLCHAIN_PROFILE_AND_OFFLINE_LOCKS	F57LaneStageResultV1
F57_STAGE_REGISTRY_V1	2	build	BUILD_DUE_TARGETS_V1	["cargo","xtask","ci-stage","--task","{task_id}","--lane","{execution_lane}","--profile","{lane_profile_id}","--stage","build"]	DUE_TARGETS_AND_PROFILE_REQUIRED_BUILDS	F57LaneStageResultV1
F57_STAGE_REGISTRY_V1	3	archcheck	ARCHCHECK_CURRENT_TREE_V1	["cargo","xtask","ci-stage","--task","{task_id}","--lane","{execution_lane}","--profile","{lane_profile_id}","--stage","archcheck"]	REPOSITORY_TREE_AND_DUE_ARCH_RULES	F57LaneStageResultV1
F57_STAGE_REGISTRY_V1	4	sqlcheck	SQLCHECK_DUE_MIGRATIONS_V1	["cargo","xtask","ci-stage","--task","{task_id}","--lane","{execution_lane}","--profile","{lane_profile_id}","--stage","sqlcheck"]	MIGRATION_MANIFEST_AT_TASK_CEILING	F57LaneStageResultV1
F57_STAGE_REGISTRY_V1	5	codecheck	CODECHECK_CURRENT_TREE_V1	["cargo","xtask","ci-stage","--task","{task_id}","--lane","{execution_lane}","--profile","{lane_profile_id}","--stage","codecheck"]	REPOSITORY_TREE_AND_DUE_CODE_RULES	F57LaneStageResultV1
F57_STAGE_REGISTRY_V1	6	registry-docs	REGISTRY_DOCS_DUE_V1	["cargo","xtask","ci-stage","--task","{task_id}","--lane","{execution_lane}","--profile","{lane_profile_id}","--stage","registry-docs"]	REGISTRY_SNAPSHOT_AND_DUE_API_COMPONENTS	F57LaneStageResultV1
F57_STAGE_REGISTRY_V1	7	supply-chain	SUPPLY_CHAIN_DUE_V1	["cargo","xtask","ci-stage","--task","{task_id}","--lane","{execution_lane}","--profile","{lane_profile_id}","--stage","supply-chain"]	DUE_ARTIFACTS_LOCKS_SBOM_AND_SECRET_SCAN	F57LaneStageResultV1
F57_STAGE_REGISTRY_V1	8	reproducible-build	REPRODUCIBLE_BUILD_DUE_V1	["cargo","xtask","ci-stage","--task","{task_id}","--lane","{execution_lane}","--profile","{lane_profile_id}","--stage","reproducible-build"]	PROFILE_REQUIRED_REPRODUCIBLE_ARTIFACTS	F57LaneStageResultV1
F57_STAGE_REGISTRY_V1	9	test-coverage	TEST_COVERAGE_DUE_V1	["cargo","xtask","ci-stage","--task","{task_id}","--lane","{execution_lane}","--profile","{lane_profile_id}","--stage","test-coverage"]	DUE_TEST_SELECTION_AND_LANE_LOCAL_COVERAGE	F57LaneStageResultV1
F57_STAGE_REGISTRY_V1	10	e2e	E2E_DUE_V1	["cargo","xtask","ci-stage","--task","{task_id}","--lane","{execution_lane}","--profile","{lane_profile_id}","--stage","e2e"]	PROFILE_REQUIRED_TYPED_END_TO_END_SCENARIOS	F57LaneStageResultV1
F57_STAGE_REGISTRY_V1	11	deploy-limits	DEPLOY_LIMITS_DUE_V1	["cargo","xtask","ci-stage","--task","{task_id}","--lane","{execution_lane}","--profile","{lane_profile_id}","--stage","deploy-limits"]	PROFILE_PLATFORM_SECURITY_AND_RESOURCE_READBACK	F57LaneStageResultV1
