legacy_version	legacy_path	disposition	aggregate_owner_task	aggregate_replacement_paths	mapping_rule
20261012114000	db/migrations/platform_core/V20261012114000__platform_core_alter_reauth_challenges_dual_kind.sql	SUPERSEDED_BY_F57_REBASELINE	F57-23	db/migrations/platform_core/V20261025091500__platform_core_harden_employee_device_state_and_sessions.sql;db/migrations/platform_core/V20261025091930__platform_core_create_external_identity_links.sql	PLATFORM_CORE_IDENTITY_V1
20261012114500	db/migrations/platform_core/V20261012114500__platform_core_add_identity_foreign_keys.sql	SUPERSEDED_BY_F57_REBASELINE	F57-23	db/migrations/platform_core/V20261025091500__platform_core_harden_employee_device_state_and_sessions.sql;db/migrations/platform_core/V20261025091930__platform_core_create_external_identity_links.sql	PLATFORM_CORE_IDENTITY_V1
20261012115000	db/migrations/platform_core/V20261012115000__platform_core_drop_user_accounts_supplier_ref_id.sql	SUPERSEDED_BY_F57_REBASELINE	F57-23	db/migrations/platform_core/V20261025091500__platform_core_harden_employee_device_state_and_sessions.sql;db/migrations/platform_core/V20261025091930__platform_core_create_external_identity_links.sql	PLATFORM_CORE_IDENTITY_V1
20261012115500	db/migrations/platform_authz/V20261012115500__platform_authz_add_missing_foreign_keys.sql	SUPERSEDED_BY_F57_REBASELINE	F57-08	db/migrations/platform_authz/V20261025090200__platform_authz_create_principal_grants.sql	PLATFORM_AUTHZ_V1
20261012120000	db/migrations/platform_authz/V20261012120000__platform_authz_alter_approval_scenario_constraints.sql	SUPERSEDED_BY_F57_REBASELINE	F57-08	db/migrations/platform_authz/V20261025090200__platform_authz_create_principal_grants.sql	PLATFORM_AUTHZ_V1
20261012120500	db/migrations/platform_authz/V20261012120500__platform_authz_backfill_default_approval_chains.sql	SUPERSEDED_BY_F57_REBASELINE	F57-08	db/migrations/platform_authz/V20261025090200__platform_authz_create_principal_grants.sql	PLATFORM_AUTHZ_V1
20261013090000	db/migrations/platform_core/V20261013090000__platform_core_create_number_sequences.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/clm/V20261025090900__clm_create_contracting.sql;db/migrations/clm/V20261025092240__clm_extend_release_breadth.sql;db/migrations/cpq/V20261025092230__cpq_create_release_breadth.sql;db/migrations/crm/V20261025092220__crm_create_release_breadth.sql;db/migrations/finance/V20261025091310__finance_create_receivable_and_cash.sql;db/migrations/finance/V20261025092340__finance_extend_release_breadth.sql;db/migrations/inventory/V20261025091200__inventory_create_receipt_and_delivery_facts.sql;db/migrations/inventory/V20261025092320__inventory_extend_release_breadth.sql;db/migrations/invoice/V20261025091300__invoice_create_sales_invoicing.sql;db/migrations/invoice/V20261025092330__invoice_extend_release_breadth.sql;db/migrations/ledger/V20261025092350__ledger_create_operating_ledger_release_breadth.sql;db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql;db/migrations/portal/V20261025092200__portal_create_identity_and_customization.sql;db/migrations/procure/V20261025091100__procure_create_sales_order_demand_and_purchase_orders.sql;db/migrations/procure/V20261025092310__procure_extend_release_breadth.sql;db/migrations/project/V20261025092410__project_create_release_breadth.sql;db/migrations/reporting/V20261025092420__reporting_create_release_breadth.sql;db/migrations/sales/V20261025091000__sales_create_standard_orders.sql;db/migrations/sales/V20261025092300__sales_extend_release_breadth.sql;db/migrations/service/V20261025092400__service_create_release_breadth.sql	PLATFORM_CORE_NUMBERING_V1
20261013090100	db/migrations/platform_core/V20261013090100__platform_core_create_module_registrations.sql	SUPERSEDED_BY_F57_REBASELINE	F57-13	db/migrations/platform_meta/V20261025092100__platform_meta_create_capability_packages.sql	PLATFORM_CORE_PACKAGE_V1
20261013090200	db/migrations/platform_core/V20261013090200__platform_core_create_license_grants.sql	SUPERSEDED_BY_F57_REBASELINE	F57-13	db/migrations/platform_meta/V20261025092100__platform_meta_create_capability_packages.sql	PLATFORM_CORE_PACKAGE_V1
20261013090300	db/migrations/platform_core/V20261013090300__platform_core_create_feature_flags.sql	SUPERSEDED_BY_F57_REBASELINE	F57-09	db/migrations/platform_meta/V20261025090400__platform_meta_create_generations_participants_and_pins.sql	PLATFORM_CORE_GENERATION_V1
20261013090400	db/migrations/platform_meta/V20261013090400__platform_meta_create_config_packages.sql	SUPERSEDED_BY_F57_REBASELINE	F57-09	db/migrations/platform_meta/V20261025090400__platform_meta_create_generations_participants_and_pins.sql	PLATFORM_META_GENERATION_V1
