requirement_id	first_due_profile	slice_probe_profiles_json	rationale
MDM-001	G5_INTEGRATION	[]	full_org_user_device_idp_lifecycle_is_not_ctc01
MDM-002	G5_INTEGRATION	["G2_CTC_DATA","G4_CTC01"]	ctc01_probes_customer_only_not_full_master_set
MDM-003	G5_INTEGRATION	["G2_CTC_DATA","G4_CTC01"]	ctc01_probes_customer_lifecycle_not_all_master_types
MDM-004	G5_INTEGRATION	[]	duplicate_merge_and_rollback_are_release_breadth
MDM-005	G5_INTEGRATION	["G2_CTC_DATA","G4_CTC01"]	ctc01_probes_contract_order_snapshot_only
CRM-001	G5_INTEGRATION	[]	crm_cross_domain_projection_is_not_in_ctc01
CRM-002	G5_INTEGRATION	[]	full_customer_360_is_not_in_ctc01
CRM-003	G5_INTEGRATION	[]	opportunity_state_machine_is_not_in_ctc01
CRM-004	G5_INTEGRATION	[]	crm_merge_complaint_projection_is_not_in_ctc01
CPQ-001	G5_INTEGRATION	[]	quote_lifecycle_is_not_in_contract_source_ctc01
CLM-001	G4_CTC01	["G2_CTC_DATA"]	ctc01_fully_proves_key_terms_payment_schedule_and_attachment
CLM-002	G5_INTEGRATION	["G2_CTC_DATA","G4_CTC01"]	ctc01_probes_version_and_signature_not_full_template_clause_comment_scope
CLM-003	G5_INTEGRATION	["G2_CTC_DATA","G4_CTC01"]	ctc01_probes_approval_sod_not_full_cosign_scope
CLM-004	G5_INTEGRATION	["G2_CTC_DATA","G4_CTC01"]	ctc01_omits_project_and_full_responsibility_fanout
CLM-005	G5_INTEGRATION	[]	contract_change_impact_is_release_breadth
CLM-006	G5_INTEGRATION	[]	reminder_renewal_expiry_merge_are_release_breadth
CLM-007	G5_INTEGRATION	[]	termination_impact_closure_is_release_breadth
SAL-001	G5_INTEGRATION	["G2_CTC_DATA","G4_CTC01"]	ctc01_proves_contract_source_only_not_three_source_exact_set
SAL-002	G4_CTC01	["G2_CTC_DATA"]	ctc01_fully_proves_standard_order_commercial_fields
SAL-003	G5_INTEGRATION	["G2_CTC_DATA","G4_CTC01"]	ctc01_probes_contract_checks_not_full_price_inventory_delivery_credit_matrix
SAL-004	G5_INTEGRATION	[]	change_split_merge_cancel_are_release_breadth
PROC-001	G5_INTEGRATION	["G2_CTC_DATA","G4_CTC01"]	ctc01_proves_sales_order_source_only_not_six_source_matrix
PROC-002	G5_INTEGRATION	["G2_CTC_DATA","G4_CTC01"]	ctc01_probes_single_source_trace_not_full_merge_split
PROC-004	G5_INTEGRATION	["G2_CTC_DATA","G4_CTC01"]	ctc01_probes_po_issue_not_full_batch_and_supplier_confirmation
PROC-005	G5_INTEGRATION	["G2_CTC_DATA","G4_CTC01"]	ctc01_probes_normal_receipt_not_over_short_reject_matrix
INV-001	G5_INTEGRATION	["G2_CTC_DATA","G4_CTC01"]	ctc01_probes_same_entity_rows_before_full_inventory_scope
INV-004	G5_INTEGRATION	["G2_CTC_DATA","G4_CTC01"]	ctc01_probes_receipt_delivery_not_all_five_event_classes
INV-005	G5_INTEGRATION	["G2_CTC_DATA","G4_CTC01"]	ctc01_probes_idempotent_movement_not_full_negative_stock_matrix
FIN-002	G5_INTEGRATION	["G2_CTC_DATA","G4_CTC01"]	ctc01_probes_sales_invoice_issue_not_full_request_approval
FIN-003	G5_INTEGRATION	["G2_CTC_DATA","G4_CTC01"]	ctc01_probes_sales_invoice_subset_not_purchase_invoice_scope
