requirement_id	owner_task	activation_task	test_id	test_target_path	test_symbol	evidence_id	evidence_schema	platform_lane
GOV-001	F57-06	F57-06	T-F57-GOV-001	testkit/tests/f57_authority_command.rs	t_f57_gov_001	E-F57-GOV-001	RequirementEvidenceBindingV1	windows-authority
GOV-002	F57-24	F57-24	T-F57-GOV-002	testkit/tests/f57_windows_recovery_security.rs	t_f57_gov_002	E-F57-GOV-002	RequirementEvidenceBindingV1	windows-authority
GOV-003	F57-09	F57-09	T-F57-GOV-003	testkit/tests/f57_generation_faults.rs	t_f57_gov_003	E-F57-GOV-003	RequirementEvidenceBindingV1	windows-authority
GOV-004	F57-13	F57-13	T-F57-GOV-004	testkit/tests/f57_package_hotplug.rs	t_f57_gov_004	E-F57-GOV-004	RequirementEvidenceBindingV1	windows-authority
GOV-005	F57-13	F57-13	T-F57-GOV-005	testkit/tests/f57_package_hotplug.rs	t_f57_gov_005	E-F57-GOV-005	RequirementEvidenceBindingV1	windows-authority
GOV-006	F57-22	F57-22	T-F57-GOV-006	testkit/tests/f57_portal_customization.rs	t_f57_gov_006	E-F57-GOV-006	RequirementEvidenceBindingV1	four-platform-client
GOV-007	F57-23	F57-23	T-F57-GOV-007	testkit/tests/f57_platform_connectors_lifecycle.rs	t_f57_gov_007	E-F57-GOV-007	RequirementEvidenceBindingV1	windows-authority
GOV-008	F57-06	F57-06	T-F57-GOV-008	testkit/tests/f57_authority_command.rs	t_f57_gov_008	E-F57-GOV-008	RequirementEvidenceBindingV1	windows-authority
GOV-009	F57-11	F57-11	T-F57-GOV-009	testkit/tests/f57_transactional_evidence.rs	t_f57_gov_009	E-F57-GOV-009	RequirementEvidenceBindingV1	windows-authority
GOV-010	F57-01	F57-01	T-F57-GOV-010	xtask/src/f57check.rs	t_f57_gov_010	E-F57-GOV-010	RequirementEvidenceBindingV1	windows-authority
MDM-001	F57-19	F57-19	T-F57-MDM-001	testkit/tests/f57_customer_contract_order.rs	t_f57_mdm_001	E-F57-MDM-001	RequirementEvidenceBindingV1	windows-authority
MDM-002	F57-19	F57-19	T-F57-MDM-002	testkit/tests/f57_customer_contract_order.rs	t_f57_mdm_002	E-F57-MDM-002	RequirementEvidenceBindingV1	windows-authority
MDM-003	F57-19	F57-19	T-F57-MDM-003	testkit/tests/f57_customer_contract_order.rs	t_f57_mdm_003	E-F57-MDM-003	RequirementEvidenceBindingV1	windows-authority
MDM-004	F57-19	F57-19	T-F57-MDM-004	testkit/tests/f57_customer_contract_order.rs	t_f57_mdm_004	E-F57-MDM-004	RequirementEvidenceBindingV1	windows-authority
MDM-005	F57-19	F57-19	T-F57-MDM-005	testkit/tests/f57_customer_contract_order.rs	t_f57_mdm_005	E-F57-MDM-005	RequirementEvidenceBindingV1	windows-authority
MDM-006	F57-19	F57-23	T-F57-MDM-006	testkit/tests/f57_import_export.rs	t_f57_mdm_006	E-F57-MDM-006	RequirementEvidenceBindingV1	windows-authority
CRM-001	F57-19	F57-19	T-F57-CRM-001	testkit/tests/f57_customer_contract_order.rs	t_f57_crm_001	E-F57-CRM-001	RequirementEvidenceBindingV1	windows-authority
CRM-002	F57-19	F57-19	T-F57-CRM-002	testkit/tests/f57_customer_contract_order.rs	t_f57_crm_002	E-F57-CRM-002	RequirementEvidenceBindingV1	windows-authority
CRM-003	F57-19	F57-19	T-F57-CRM-003	testkit/tests/f57_customer_contract_order.rs	t_f57_crm_003	E-F57-CRM-003	RequirementEvidenceBindingV1	windows-authority
CRM-004	F57-19	F57-19	T-F57-CRM-004	testkit/tests/f57_customer_contract_order.rs	t_f57_crm_004	E-F57-CRM-004	RequirementEvidenceBindingV1	windows-authority
CPQ-001	F57-19	F57-19	T-F57-CPQ-001	testkit/tests/f57_customer_contract_order.rs	t_f57_cpq_001	E-F57-CPQ-001	RequirementEvidenceBindingV1	windows-authority
CLM-001	F57-19	F57-19	T-F57-CLM-001	testkit/tests/f57_customer_contract_order.rs	t_f57_clm_001	E-F57-CLM-001	RequirementEvidenceBindingV1	windows-authority
CLM-002	F57-19	F57-19	T-F57-CLM-002	testkit/tests/f57_customer_contract_order.rs	t_f57_clm_002	E-F57-CLM-002	RequirementEvidenceBindingV1	windows-authority
CLM-003	F57-19	F57-19	T-F57-CLM-003	testkit/tests/f57_customer_contract_order.rs	t_f57_clm_003	E-F57-CLM-003	RequirementEvidenceBindingV1	windows-authority
CLM-004	F57-19	F57-19	T-F57-CLM-004	testkit/tests/f57_customer_contract_order.rs	t_f57_clm_004	E-F57-CLM-004	RequirementEvidenceBindingV1	windows-authority
CLM-005	F57-19	F57-19	T-F57-CLM-005	testkit/tests/f57_customer_contract_order.rs	t_f57_clm_005	E-F57-CLM-005	RequirementEvidenceBindingV1	windows-authority
CLM-006	F57-19	F57-19	T-F57-CLM-006	testkit/tests/f57_customer_contract_order.rs	t_f57_clm_006	E-F57-CLM-006	RequirementEvidenceBindingV1	windows-authority
CLM-007	F57-19	F57-19	T-F57-CLM-007	testkit/tests/f57_customer_contract_order.rs	t_f57_clm_007	E-F57-CLM-007	RequirementEvidenceBindingV1	windows-authority
SAL-001	F57-19	F57-19	T-F57-SAL-001	testkit/tests/f57_customer_contract_order.rs	t_f57_sal_001	E-F57-SAL-001	RequirementEvidenceBindingV1	windows-authority
SAL-002	F57-19	F57-19	T-F57-SAL-002	testkit/tests/f57_customer_contract_order.rs	t_f57_sal_002	E-F57-SAL-002	RequirementEvidenceBindingV1	windows-authority
SAL-003	F57-19	F57-19	T-F57-SAL-003	testkit/tests/f57_customer_contract_order.rs	t_f57_sal_003	E-F57-SAL-003	RequirementEvidenceBindingV1	windows-authority
SAL-004	F57-19	F57-19	T-F57-SAL-004	testkit/tests/f57_customer_contract_order.rs	t_f57_sal_004	E-F57-SAL-004	RequirementEvidenceBindingV1	windows-authority
SAL-005	F57-20	F57-20	T-F57-SAL-005	testkit/tests/f57_procure_inventory_cash.rs	t_f57_sal_005	E-F57-SAL-005	RequirementEvidenceBindingV1	windows-authority
SAL-006	F57-20	F57-20	T-F57-SAL-006	testkit/tests/f57_procure_inventory_cash.rs	t_f57_sal_006	E-F57-SAL-006	RequirementEvidenceBindingV1	windows-authority
SAL-007	F57-20	F57-20	T-F57-SAL-007	testkit/tests/f57_procure_inventory_cash.rs	t_f57_sal_007	E-F57-SAL-007	RequirementEvidenceBindingV1	windows-authority
SAL-008	F57-20	F57-20	T-F57-SAL-008	testkit/tests/f57_procure_inventory_cash.rs	t_f57_sal_008	E-F57-SAL-008	RequirementEvidenceBindingV1	windows-authority
PROC-001	F57-20	F57-20	T-F57-PROC-001	testkit/tests/f57_procure_inventory_cash.rs	t_f57_proc_001	E-F57-PROC-001	RequirementEvidenceBindingV1	windows-authority
PROC-002	F57-20	F57-20	T-F57-PROC-002	testkit/tests/f57_procure_inventory_cash.rs	t_f57_proc_002	E-F57-PROC-002	RequirementEvidenceBindingV1	windows-authority
